web-scraper-order,web-scraper-start-url,neighbourhood_link,neighbourhood_link-href,bedroom_link,bedroom_link-href,product_link,product_link-href,Address,Rental_Price,Sqft,Bedroom,Bathroom,Rental_Type,Neighbourhood
"1712083216-14","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5664339/1006-1500-howe-street-vancouver-bc","1006 1500 Howe Street","$4,500/month","961 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083219-15","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5672328/1801-289-drake-street-vancouver-bc","1801 289 Drake Street","$6,500/month","1209 Sqft","3 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083222-16","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5680576/2609-1480-howe-street-vancouver-bc","2609 1480 Howe Street","$4,500/month","763 Sqft","2 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083226-17","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/4426479/89-nelson-street-vancouver-bc","89 Nelson Street","$6,450/month","1200 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083229-18","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/2714749/89-nelson-street-vancouver-bc","89 Nelson Street","$6,450/month","1200 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083232-19","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/3972685/1480-howe-street-vancouver-bc","1480 Howe Street","$4,950/month","1200 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083235-20","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5704229/514-888-beach-avenue-vancouver-bc","514 888 Beach Avenue","$3,900/month","980 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083238-21","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5728696/984-87-nelson-street-vancouver-bc","984 87 Nelson Street","$3,900/month","868 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083241-22","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5631441/302-499-drake-street-vancouver-bc","302 499 Drake Street","$5,500/month","1315 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083243-23","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5674783/tha-1199-marinaside-crescent-vancouver-bc","Tha 1199 Marinaside Crescent","$8,990/month","1600 Sqft","3 Bed","2 Bath","Townhouse","Yaletown"
"1712083249-24","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5695857/1004-939-beatty-street-vancouver-bc","939 Beatty Street","$2,859/month","521 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083252-25","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5700545/401-1178-hamilton-street-vancouver-bc","401 1178 Hamilton Street","$3,475/month","730 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083255-26","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5313036/939-expo-boulevard-vancouver-bc","939 Expo Boulevard","$2,380/month","460 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083258-27","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5715109/2107-928-homer-street-vancouver-bc","2107 928 Homer Street","$2,950/month","498 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083262-28","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/2925955/1500-hornby-street-vancouver-bc","1500 Hornby Street","$2,975/month","800 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083265-29","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5716866/928-beatty-street-vancouver-bc","928 Beatty Street","$2,500/month","515 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083268-30","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5716775/2309-1008-cambie-street-w12309-2309-1008-cambie-street-vancouver-bc","1008 Cambie Street","$2,650/month","738 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083271-31","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5729308/2311-89-nelson-street-vancouver-bc","89 Nelson Street","$2,900/month","513 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083274-32","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5731090/1503-939-beatty-street-vancouver-bc","939 Beatty Street","$2,831/month","491 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083277-33","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5645636/2010-89-nelson-street-vancouver-bc","2010 89 Nelson Street","$3,300/month","500 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083281-34","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5708541/903-1088-richards-street-vancouver-bc","903 1088 Richards Street","$3,750/month","886 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083284-35","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5721494/1209-977-mainland-street-vancouver-bc","1209 977 Mainland Street","$2,850/month","500 Sqft","1 Bed","1 Bath","Apt/Condo","Yaletown"
"1712083286-36","https://www.rew.ca/rentals/areas/vancouver-bc","Yaletown (58)","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","1+ Bed","https://www.rew.ca/rentals/areas/yaletown-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=1","","https://www.rew.ca/rentals/5675697/1806-950-cambie-street-vancouver-bc","950 Cambie Street","$5,000","1080 Sqft","2 Bed","2 Bath","Apt/Condo","Yaletown"
"1712083294-37","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5613756/3939-w-38th-avenue-vancouver-bc","3939 W 38th Avenue","$7,500/month","3819 Sqft","5 Bed","4 Bath","House","Dunbar"
"1712083297-38","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5406309/vancouver-bc","Vancouver,
BC","$13,500/month","5200 Sqft","5 Bed","5 Bath","House","Cambie"
"1712083300-39","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","5+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=5","","https://www.rew.ca/rentals/5676047/10xx-w-55th-avenue-vancouver-bc","10xx W 55th Avenue","$12,000/month","7328 Sqft","5 Bed","7 Bath","House","South Granville"
"1712083309-40","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/3254542/1431-haro-street-vancouver-bc","1431 Haro Street","$4,750/month","890 Sqft","3 Bed","2 Bath","Apt/Condo","West End"
"1712083312-41","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/3254548/1425-haro-street-vancouver-bc","1425 Haro Street","$4,450/month","754 Sqft","3 Bed","2 Bath","Apt/Condo","West End"
"1712083315-42","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/3673059/1770-pendrell-street-vancouver-bc","1770 Pendrell Street","$4,995/month","990 Sqft","3 Bed","2 Bath","Apt/Condo","West End"
"1712083318-43","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4108330/1168-pendrell-street-vancouver-bc","1168 Pendrell Street","$5,000/month","745 Sqft","3 Bed","2 Bath","Apt/Condo","West End"
"1712083321-44","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4119622/1405-haro-street-vancouver-bc","1405 Haro Street","$3,990/month","829 Sqft","3 Bed","2 Bath","Apt/Condo","West End"
"1712083324-45","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4119621/1405-haro-street-vancouver-bc","1405 Haro Street","$4,700/month","970 Sqft","3 Bed","1 Bath","Apt/Condo","West End"
"1712083327-46","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4273982/1540-haro-street-vancouver-bc","1540 Haro Street","$4,350/month","850 Sqft","3 Bed","1 Bath","Apt/Condo","West End"
"1712083330-47","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/4681944/935-jervis-street-vancouver-bc","935 Jervis Street","$4,500/month","811 Sqft","3 Bed","1 Bath","Apt/Condo","West End"
"1712083333-48","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","3+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=3","","https://www.rew.ca/rentals/5079119/xx02-1331-alberni-street-vancouver-bc","Xx02 1331 Alberni Street","$10,000/month","1835 Sqft","3 Bed","3 Bath","Apt/Condo","West End"
"1712083339-49","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5365569/1201-1568-alberni-street-vancouver-bc","1201 1568 Alberni Street","$6,800/month","1369 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083342-50","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5544397/3x02-1111-alberni-street-vancouver-bc","3x02 1111 Alberni Street","$11,500/month","1620 Sqft","2 Bed","3 Bath","Apt/Condo","West End"
"1712083345-51","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5547404/102-2015-beach-avenue-vancouver-bc","102 2015 Beach Avenue","$14,000/month","4250 Sqft","4 Bed","4 Bath","Apt/Condo","West End"
"1712083348-52","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5584810/2x02-1568-alberni-vancouver-bc","2x02 1568 Alberni Street","$6,000/month","1100 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083351-53","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5596305/3x04-1111-alberni-street-vancouver-bc","3x04 1111 Alberni Street","$8,500/month","1393 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083354-54","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5633901/1505-1005-beach-avenue-vancouver-bc","1505 1005 Beach Avenue","$3,650/month","835 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
"1712083358-55","https://www.rew.ca/rentals/areas/vancouver-bc","West End (103)","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?top_level_searchable_id=383&top_level_searchable_type=Geography","2+ Bed","https://www.rew.ca/rentals/areas/west-end-vancouver-bc?is_exact_bedrooms=false&num_bedrooms=2","","https://www.rew.ca/rentals/5635334/3302-1568-alberni-street-vancouver-bc","3302 1568 Alberni Street","$8,000/month","1425 Sqft","2 Bed","2 Bath","Apt/Condo","West End"
